English Word,Korean Word,KNN Results,Match Found
WIPI,위피,"ITU-D, ITU-T에서, Monotype, JBIG2, UNESCAP, SeaMonkey, 3GPP에서, Miracast, Widelux, OKF",False
WYSIWYG,위지윅,"HTML, XSLT, 드림위버가, HTML4와, Emacs, PHP용, AJAX로, 브라우저라는, 위지윅, MSHTML",True
WordPress,워드프레스,"워드프레스, 워드프레스에는, 워드프레스용, 워드프레스의, 워드프레스나, WordPress, 워드프레스에서는, 워드프레스에, 워드프레스에서, 워드프레스가",True
diablo,디아블로,"지룡, 파티찾기, 디아블로, 소드맨, 린검사, 볼리베어, 검심, 제로3, 귀검사, 나쵸",True
online-game,온라인게임,"콘솔게임, 게임전문, 텐센트는, 웹보드, 게임사와, 게임, 게임시장은, 대전게임, 게임사의, MMO",False
access,액세스,"접근, 접속, 액세스가, 액세스, 접근권, 정보에의, 정보접근, 앱별, 액세스나, 접근할",True
FORTRAN,포트란,"코볼, 퀵소트, c언어, yacc, 포트란, MATLAB, 논리형, 파일입출력, 포트란은, GML",True
hacker,해커,"해커, 해커들의, 해커가, 해커의, 해킹, 해킹으로, 해커들이, 해커들, 보안전문가, 해커와",True
Crowd-Sourcing,크라우드-소싱,N/A,False
Hangame,한게임,"그라비티는, 윈디소프트, 한국서버, 반다이남코, XBLA, 퍼블리셔인, 엠게임, 감마니아, 스퀘어에닉스의, 스퀘어에닉스",False
touch-screen,터치스크린,"터치스크린, 터치스크린과, 터치스크린의, 터치스크린을, 터치식, 터치스크린은, 터치스크린이, 터치스크린으로, 투표기, 터치스크린폰",True
Chromecast,크롬캐스트,"DLNA, 크롬캐스트를, Miracast, 크롬캐스트, 안드로이드TV, 리모콘, iPad2, 크롬캐스트의, 크롬캐스트와, AirPlay",True
data-warehouse,데이터웨어하우스,"ITaaS, 인메모리, 데브옵스, 웨어하우징, 솔루션들과, 온프레미스와, 웨어하우스를, OLAP, ERP나, 컨버지드",False
hand-off,핸드오프,"콜백, 핸드오프, 페일오버, 스케쥴링, 핸드오버, 통신장비인, 프로세스, 재난망, 시그널링을, 도상훈련",True
floating,플로팅,"떠있는, 갑판, 조약돌, 펄이, 바다위에, 부유물, 유영하는, 버블, 박스처럼, 떠다니는",False
multicast,멀티캐스트,"OSPF, 멀티캐스팅, IGMP, 멀티캐스트, 프로토콜, 시그널링을, 네트워크, 전송계층, VLSM, SS7",True
pholar,폴라,N/A,False
algorithm,알고리즘,"알고리즘, 알고리듬, 알고리즘을, 알고리듬은, 알고리즘은, 알고리, 합병정렬, 기계학습, TF-IDF, 알고리즘에서",True
internet-data-center,인터넷데이터센터,N/A,False
Say-Club,세이클럽,N/A,False
unicast,유니캐스트,"6to4, OSPF, UDP가, 유니캐스트, TCP의, IGMP, 시그널링을, 라우터에서, PPTP, OSI참조",True
parity-bit,패리티-비트,N/A,False
iTunes,아이튠즈,"아이튠스, iTunes, iTunes에서, 뮤직스토어, iTunes의, 아이튠즈, 아이튠스를, 아이튠즈로, 아이튠즈를, 재생목록에서",True
Cortana,코타나,"코타나, 코타나가, Siri, Siri가, Siri의, Siri와, Siri에게, A.I., 구글글래스, Siri는",True
emulator,에뮬레이터,"QEMU, 윈도우XP에서, 에뮬레이터, 에뮬레이션, 커맨드라인, 콘솔, 에뮬레이팅, X86, 콘솔용, 에뮬레이터의",True
NateOn,네이트온,N/A,False
mirror-site,미러사이트,N/A,False
Digital-Signage,디지털-사이니지,N/A,False
computer-virus,컴퓨터바이러스,N/A,False
bookmark,북마크,"북마크, 태그별로, 북마크에, 추천버튼, 이미지링크, 북마크하고, 검색바, 월드맵, 만들기3, 정렬방법",True
overture,오버추어,"서곡, 편곡집, 서곡의, 합창, 연가곡, 성악곡, 제2악장, 내림가장조, 토카타와, 카르미나",False
Evernote,에버노트,"에버노트의, 에버노트, 문서도구를, 에버노트와, 에버노트나, 에버노트를, 드롭박스와, 에버노트로, 에버노트는, 메모앱",True
Pinterest,핀터레스트,"오늘의집, DeviantArt, 메타사이트, 트윗믹스, 콘텐츠마케팅, Etsy, 있습니다.페이스북ㅣ, Pinterest, 추천서비스, 애드워즈광고",False
Profile,프로파일,"프로필, Profile, Home회사, 종합인력개발센터, Hanauer, HanaMinBX, Profiles, F-change, WAGNER, Sports-reference",False
COBOL,코볼,"코볼, 윈도우즈, GML, C언어는, SQL을, 닷넷, VBA, SQL, 객체지향, SQL의",True
file,파일,"파일, 저장위치, 파일의, 파일을, 확장자명, .inf, 파일이름, 폴더나, 파일등, 확장명",True
single-sign-on,싱글-사인-온,"ADFS, 간편인증, SAML, 구축형, 솔루션들과, 플랫폼상에서, 웹애플리케이션, 협업툴, 로드밸런싱, 통합인증",False
Playstation,플레이스테이션,"게임콘솔, 플레이스테이션, PS비타, XBOX360, 플레이스테이션용, XBOX360용, 플레이스테이션판, PlayStation2, 플레이스테이션VR, XBOX",True
Aladdin,알라딘,"아라비안, 브로드웨이, 레전즈, 알왈리드, 덤보, 조이랜드, BBV, 위키드, 인어공주, 툿",False
big-data,빅데이터,"머신러닝, 딥러닝과, 인메모리, 빅데이터, 기계학습과, 기계학습, 빅데이터나, 인지컴퓨팅, 빅데이타, 머신러닝은",True
trigger,트리거,"끄기, 방아쇠, 완화용, 디버프, 고폭, 필터들, 방사기, 작동된, 發火, 둔감",False
Napster,냅스터,"냅스터, 소리바다와, 소리바다, 냅스터와, 스포티파이와, 냅스터의, 파일공유, AOL, 마이스페이스의, P2P",True
stress-test,스트레스-테스트,"스트레스테스트, 테스트, 시나리오별, 파스-타, 유닛테스트를, 테스트를, 평가시스템, 신용평가시스템, 테스트로, 성능평가",False
Extranet,엑스트라넷,"통합보안솔루션, 무선보안솔루션, 한솔넥스지, 그룹웨어에, 학교홈페이지이용홈페이지이용안내IT서비스, 보안기술과, 그룹웨어와, 그룹웨어의, EDMS, FUKUMI",False
Retina-Display,레티나-디스플레이,N/A,False
Tizen,타이젠,"안드로이드웨어, 윈도우폰7, 모토블러, Maemo, 윈도폰7, 안드로이드OS, Tizen, OpenStep, 윈도우폰, 윈도폰",False
grid-computing,그리드컴퓨팅,N/A,False
rummikub,루미큐브,N/A,False
WordArt,워드아트,"글자색, 클립아트, 배경제거, 미자야, Markdown, 워드아트, Text로, 글꼴과, 나눔고딕은, FastStone",True
segment,세그먼트,"섹션, 방송, 밸류체인, VoD, 인포머셜, 채널별, 채널, 비드라마, 특장, 타깃",False
jenga,젠가,"젠가, 포켓볼, 퍼즐, 삼매경에, 나인볼, 볼링, 놀이에, 딱지치기, 다트, 트램폴린",True
true-color,트루컬러,"고해상도, 위성영상, 명암비와, MODIS, 고해상도의, 4K급, 초고해상도, 레이트레이싱, 카시니호, 고해상도와",False
Newsletter,뉴스레터,"한살림연합, makehope.org, 편집자문위원, imackorea에, APCTP, 뉴스레터와, SOGI법정책연구회, PC사랑, 창간호를, arXiv.org",True
data-communication,데이터통신,N/A,False
Anonymous,어나니머스,"19ID, 37ID, nope, 존다리안, 0르릐, 04ID, Opusdei, 김뿌우, 51ID, 슈3花",False
Adobe-Flash,어도비-플래시,N/A,False
Program-Counter,프로그램-카운터,N/A,False
Apple-Watch,애플-워치,N/A,False
Nocut-News,노컷뉴스,N/A,False
Windows-Vista,윈도우-비스타,N/A,False
iPod,아이팟,"아이팟, 아이팟터치의, ipod, 아이폰, iPOD, 아이팟터치, i-Pod, iPod과, iPod, 애플의",True
image-map,이미지맵,N/A,False
clip-art,클립-아트,"클립아트, 손그림, 그리기와, 동물그림, 꽃그림, 디자인소스, Gif, 색칠하기, 웹용, 사람아이콘",False
digitizer,디지타이저,"주변기기와, 가속센서, 디지타이저, 가속도계는, 유에스비, 3D카메라, 가속도계의, 검사장비, 연결단자, 첨필",True
DCinside,디시인사이드,N/A,False
applet,애플릿,"실행화면, AJAX로, 소스파일, API입니다, matlab, .EXE, 애플릿, 소켓통신, 실행결과, JNDI",True
messenger,메신저,"전령, 메신저, 傳令, 염제, 바이버, 김실장, 주소록과, 파일전송, 챗온, 쪽지",True
mouse,마우스,"생쥐, mouse, 쥐의, 마우스, 강아지나, 쥐, 마우스는, 쥐와, 마우스와, 4족",True
device-driver,디바이스-드라이버,"ATAPI, APIC, RDM, IOMMU, 스위칭의, ILOM, Windows2000, 소프트웨어용, ASPI, 객체기반",False
beer-game,비어게임,N/A,False
hard-copy,하드카피,"전자파일, 인쇄본, 필기장, 전자자료, 전자책을, PDF파일은, 종이문서를, 인쇄물을, 인쇄, 종이문서",False
computer-network,컴퓨터네트워크,"통신망인, 원격회의, 주소체계, 보안장비, 통신장비인, 정보통신기기, 지능화된, 정보가전, 인터네트워킹, 광역통신망",False
Usenet,유즈넷,"뉴스그룹, 유즈넷, 전자게시판, 한메일, 파일공유, PC통신이나, Usenet, PC통신, 스누라이프, 2채널의",True
software-engineering,소프트웨어공학,"애자일, 아키텍처, 프로그래밍, 개발방법론, 분산시스템, 객체지향, 방법론인, 프로토타이핑, UI설계, 프레임웍과",False
keyword-marketing,키워드마케팅,N/A,False
CAD-CAM-system,캐드캠시스템,N/A,False
Headroom,헤드룸,"헤드룸, 100dB, 블라스터X, 천장고, VDC, 34인치, 3m의, 8옴, 30dB, 좌석간",True
cyber-stalking,사이버스토킹,"스토킹, 성범죄, 악플, 범죄, 괴롭힘의, 성폭력, 특수강간, 악플러들을, 사이버폭력, 악플러",False
north-bridge,노스브리지,N/A,False
spam-mail,스팸메일,N/A,False
thrunet,두루넷,N/A,False
mailing-list,메일링리스트,"메일링, 메일이나, L10n, XML-RPC, RSS나, MDN, 피드버너, KLDP, 뉴스레터나, 뉴스레터를",False
Tool-Bar,툴바,N/A,False
page-view,페이지뷰,"페이지뷰, 순방문자, 클릭당, 방문자수는, 클릭수와, 클릭수, 방문자수, 노출수, 클릭율, 방문자수와",True
repurposing,리퍼포징,"업사이클, 재활용하는, 재활용, 재활용해, 유휴공간, 재활용한, 활용, 재활용하여, 폐자재, 공공예술",False
Kartrider,카트라이더,N/A,False
utility-program,유틸리티프로그램,N/A,False
video-adapter,비디오-어댑터,N/A,False
bar-code,바코드,"바코드를, 바코드, 바코드는, 마킹, 바코드와, 영숫자, 점자, 바코드의, 바코드나, 카드형",True
haptics,햅틱스,"동작인식, 햅틱, 시선추적, 영상기반, 입력장치의, 3D카메라, 무안경, 압력감지, 바이오칩, 터치스크린이나",False
DivX,디빅스,"H.265, VC-1, Divx, DivX, WebP, VP9, VOB, 윈도우즈용, 히다찌, X-Fi",False
telebanking,텔레뱅킹,N/A,False
data-file,데이터파일,"커밋된, 화일에, 포맷된, 데이터파일, BLOB, RDB, .inf, 엑셀파일, .xml, YAML",True
Set-Top-Box,셋톱박스,"셋톱박스로, Miracast, 셋톱박스, 셋톱박스에서, 셋톱박스의, 인터네트워킹, 베이스밴드, 유선통신, FTTH, 셋톱박스와",True
docking-station,도킹스테이션,N/A,False
code,코드,"코드, 코드는, 코드를, 코드에, 코드나, 부호, 전처리기, 음성변환용, 코드가, Code",True
frame-relay,프레임릴레이,"IGRP는, X.25, CIDR, OOS, VLSM, 2선식, WAE, XDR, 집선, PPTP",False
microblog,마이크로블로그,"웨이신, 소셜네트워킹, SNS나, 페이스북, 트워터, 트렌딩, SNS, 마이크로블로그, SNS인, 개인홈페이지",True
smart-card,스마트카드,"비접촉형, 퀵패스, IC카드로, IC카드를, 스마트카드, 카드식, DS-ATC, 카드형, IC카드에, IC카드용",True
Microsoft-Word,엠에스워드,N/A,False
Red-Alert,레드얼럿,N/A,False
hacktivism,핵티비즘,"해킹행동주의, 해커들의, 해킹, 핵티비즘, 분산서비스거부, 사이버테러, 사이버범죄, 해킹의, 사이버공격, 서비스거부",True
Break-News,브레이크뉴스,N/A,False
Android-Pay,안드로이드페이,N/A,False
chipset,칩셋,"칩셋, 통신칩, E6300, 2코어, 칩셋의, P55, 하스웰-E, OMAP3, 리드텍, ARM920T",True
multiprogramming,멀티프로그래밍,"매니코어, 8086, 멀티스레드, 8086의, JVM의, 메모리관리, RISC와, CISC와, 8051에, 가상머신",False
rich-media,리치미디어,"인터랙티브한, 애플리케이션, 콘텐츠와, 방송급, 편집기와, 저작도구, 컨텐츠와, 콘텐츠, 멀티미디어를, 데스크톱의",False
RAM-disk,램디스크,N/A,False
soribada,소리바다,N/A,False
Perl,펄,"파이썬, 레일스, PHP, Java나, Java는, 파이썬이나, PHP의, Java에, 프로그래밍, 객체지향",False
login,로그인,"로그인, 접속2, 로그인-, PW로, 유저네임, 로긴이, 변경방법, 로그인도, 비밀번호만, 비번으로",True
Carrier-Aggregation,캐리어-어그리게이션,N/A,False
Firefox,파이어폭스,"브라우저, IE의, 익스플로러, 파이어폭스나, 익스플로러로, 익스플로러도, 익스플로러8, 웹브라우저, Firefox와, 익스플로러에서",True
altavista,알타비스타,"검색엔진, 검색사이트, 검색엔진은, 검색엔진에서, 검색으로, 자동번역, 엠파스, 구글검색, 야후재팬, 검색서비스",False
Crazyarcade,크레이지아케이드,N/A,False
hoax,혹스,"날조, 가짜, 루머, 합성사진, 허위, 필화, 유포는, 僞作, 음모론이다, 구탄",False
nownuri,나우누리,N/A,False
Pascal,파스칼,"장피에르, 장-뤽, 프랑소와, 파스칼, 모루아, 멜처, 앙투안, 파스칼의, 자크, 그자비에",True
skype,스카이프,"화상채팅, 채팅, 화상통화, 랜덤채팅, skype, 스카이프, 채팅으로, 전화통화, chat, 챗질라",True
world-wide-web,월드와이드웹,"웹, 웹에서, 인터넷, 꽃집은, 터넷, 경매사이트, 확대출시, 뱅킹은, 사이트들의, 결제",False
ripping,리핑,"밟힌, 훑기, 내려친다, 뜯어내는, 보풀을, 꿰매기, 뭉개, 뭉개고, 튀기, 버리던",False
Internet-Business,인터넷비즈니스,N/A,False
alpha-test,알파테스트,N/A,False
UNIVAC,유니박,"PDP-1, 천공카드, 아이비엠, 멀틱스, 미니컴퓨터의, 에드삭, 베릴로그, PDP-10, 미니컴퓨터, IBM사가",False
gopher,고퍼,"선충, 진균, 개과, 해충, 사슴이다, 사슴과의, 새똥, 기생충, 해충의, 아기곰",False
Kindle,킨들,"킨들은, 킨들로, 전자책으로도, 전자책을, Kindle, iBooks, 전자책도, 전자책, eBook은, 전자책은",True
crawler,크롤러,"크롤러, 웹, 검색엔진, 로봇, 소녀를위한, 스파이더, 엔진, 사이트, 기어호빙기, 아이펀",True
in-silico,인실리코,"실험계획법, 대사체학, 분석기술, 계산화학, 전임상, 통합분석, 텍스트마이닝, 생물정보, cDNA, 인공신경망의",False
paging,페이징,"스케쥴링, 기억장치의, 중복제거, VTOC, 테이터, 입출력과, 파티션된, 저장함, 전송이나, 콜백",False
smart-wear,스마트웨어,N/A,False
sector,섹터,"산업, 기업, 공공분야, 경제, 금융, 투자시장, 민간경제, 경제산업, 농수산업, 경제시장",False
viewer,뷰어,"관람자, 감상자, 관람객, 관객의, 화면들, 수용자, 관객, 관람자의, 시청자, 감상자의",False
ENIAC,에니악,"에니악, 천공카드, 해석기관의, ENIAC, 에니악은, 진공관, 에커트와, 컴퓨터, 해석기관, 에드박",True
honey-pot,허니팟,"벌들의, 맬웨어, 수백에, 범죄자들이, 조개나, 칡의, 속임수와, 스럽다, 약탈의, 깔때기형",False
Hangul-domain,한글도메인,N/A,False
Google-Now,구글-나우,N/A,False
Scheduling,스케줄링,"스케줄링, 수행시간, 스케쥴링, scheduling, 스케줄링에, 스케줄링과, 오퍼레이션스, 스케줄, 스케줄링된, schedule",True
Quark-Xpress,쿼크익스프레스,N/A,False
Hybrid,하이브리드,"하이브리드, 파워트레인은, 프리우스에, 터보엔진, 클래리티, 투스카니가, HDi, CT200h, 올-뉴, 신차뉴스",True
Athlon,애슬론,"Eee, 인퍼노, Z68, 2414, 정품구입시무상완벽설치, 4857, 3RSYS, R300, PGM-11, 펜티엄3",False
emoticon,이모티콘,"이모티콘이, 이모티콘과, 이모티콘이나, 이모티콘까지, 이모티콘을, 이모티콘, PPAP, 대화창에, 이모티콘으로, 에모지",True
look-and-feel,룩-앤드-필,"UI와, UI를, UI, 룩앤필, 디자인과, 사용자환경, UI는, UX로, 기능들과, 개발환경의",False
merge-sort,머지소트,N/A,False
Phaser,페이저,"스위치인, 레이저라이터, DS2, 디텍터, PDK, GbE, 680i, 이근행, 7.2.5, 3.2에서",False
Qshing,큐싱,N/A,False
buffer-memory,버퍼메모리,N/A,False
south-bridge,사우스브리지,N/A,False
serial,시리얼,"시리얼, DB-25, GPIB, 패러럴, Serial, 시리얼통신, RS232C, RS232, USB의, A00",True
multiprocessing,멀티프로세싱,"병행성, OpenMP, RDMA, 쓰레딩, 반가상화, 곱셈기, JVM의, 스레딩, 멀티쓰레드, 큐잉",False
plug-in-program,플러그인-프로그램,N/A,False
minicomputer,미니컴퓨터,"천공카드, 미니컴퓨터의, 컴퓨터, 메인프레임, 미니컴퓨터, APPC, 마이크로프로세서, 호환기종, 아이비엠, 8086은",True
GeForce,지포스,"슬레이트7, 레드스톤2, 메탈레이지, Windows10, DXVA, 2600용, 엔포스2, RX480, DX11, GP32",False
media,미디어,"미디어, 매체들, 언론, 매체, 매체의, SNS, 매체나, 매스미디어, 매체들과, 미디어의",True
logout,로그아웃,"로그인, 팝업창, 기본설정, 재실행, 사용안함, 사용안함으로, 로그오프, 파일삭제, 쿠키삭제, 종료버튼",False
shockwave,쇼크웨이브,"충격파, 파편형, 호밍, 추진형, 사이오닉, 빙결, 붕권, 입자나, 衝擊, 어택",False
Host-Card-Emulation,호스트-카드-에뮬레이션,N/A,False
cyberslacking,사이버슬래킹,N/A,False
Microsoft-Office,엠에스오피스,N/A,False
Maxmovie,맥스무비,N/A,False
NOR-flash-memory,노어플래시메모리,N/A,False
click-and-mortar,클릭앤드모타르,N/A,False
Dithering,디더링,"자유민주당, 네탄야후, 럼스펠드, 시퀘스터, 디더링, 이을드름, 긴축정책이, 네타냐후, 교착상태, 봉쇄정책",True
partition,파티션,"파티션, 파티션과, 분할, partition, 파티션을, 파티션의, Partition, 파티션은, 파티션이나, 分割",True
Batoo,바투,"AHO, 쿠안탄, BHR, BNS, 파흐투프, 바마나, 아바사, Putra, 카타니, Sheikh",False
internet-cafe,인터넷카페,N/A,False
microprogram,마이크로프로그램,"기계어, 비순차, 8086의, 곱셈기, 8051의, 주기억, 소자나, 64KB의, 주소지정, 기억장치",False
cyberterror,사이버테러,"보안위협, 분산서비스거부, 사이버공격, 사이버공격은, 사이버테러, 사이버공격이, 사이버전, DDos, 테러나, 보안위협에",True
biocomputer,바이오컴퓨터,"생체공학, 인공두뇌학, iPS, 세포, 뇌과학, 복잡계, 뇌, 인공장기, 뇌와, 자기복제",False
Baldur's-Gate,발더스게이트,N/A,False
Pentium,펜티엄,"ARM7, 팬티엄, 6809, 펜티엄3, 5xx, 사이릭스, 2.0Ghz, SGRAM, ddr3, 68k",True
internet-hub-site,인터넷허브사이트,N/A,False
truetype,트루타입,"확장자의, 확장자는, 쌍림빌딩, .hex, Shvetsov, MS-DOS와, .ttf, ALZ, 760-762, .HWP",False
repository,리포지터리,"저장소를, 레파지토리, Repository, 저장소, 레파지토리에, 데이터베이스명, 디렉토리와, 설정파일, 리포지터리, vApp",True
White-box,화이트박스,"FlexGrid, UnixWare, 테스팅, 멀티스레드, 싱글스레드, 가상화, MIL-STD-498, 글래스피시, Platform은, 멀티프로그래밍",False
host-computer,호스트컴퓨터,N/A,False
Netbook,넷북,"넷북, 노트북, Eee, Xoom, 노트북이라, Laptop, 넷북이나, 미니노트북, 넷북의, 스마트패드",True
cable-modem,케이블모뎀,"모뎀, 회선의, 1Gbps의, 모뎀은, 100Mbps의, 다이얼업, 전송망, 접속서비스, 인터넷망, 5Gbps의",False
nate,네이트,"EJ, zee, Suade, ̩, neul, yb, jm, rz, iam, rn",False
assembler,어셈블러,"기계어, 퀵소트, 아트멜, Verilog, 논리형, FPGA의, 프로그래밍, 헤더파일, JVM, 툴체인",False
superscalar,슈퍼스칼라,"CISC, 아키텍처인, 아키텍처나, 객체지향, CISC와, 아키텍쳐인, 슈퍼스칼라, 아키텍처와, RISC와, 고수준",True
Deep-Blue,딥블루,N/A,False
groove,그루브,"재지한, 팝재즈, 훵키한, 재즈부터, 레가토, 붐뱁, 신스의, 신스가, 전자음, 튠을",False
engine,엔진,"엔진, 엔진의, 엔진을, 아이펀, 엔진은, 엔진에, 엔진이나, 엔진과, 12기통, 디젤",True
operator,오퍼레이터,"자동화시스템, 오퍼레이터, 승강기, TGIS의, 제어시스템의, 안리쓰, 운영업체, operator, 주차관리, KSAR",True
word-processor,워드프로세서,"마크다운, 워드프로세싱, 워드프로세서, MS워드, 워드프로세서나, 워드프로세스, 워드프로세서는, 워드프로세서를, 필기장, 파워포인트나",True
call-back,콜백,"전화, 콜백, 착신, 단문메시지, 전화응대, 응대, 문자전송, 문자수신, 음성사서함, 팩스",True
CeBIT,세빗,"세빗, 한국전자전, Cebit, 모바일월드콩그레스, CeBIT, 가전박람회, eGISEC, 국제가전박람회, SECON, 게임스컴",True
virus-marketing,바이러스마케팅,N/A,False
hybrid-computer,하이브리드컴퓨터,N/A,False
iMac,아이맥,"맥북프로, 맥북프로와, iMac을, 맥북프로는, 매킨토시나, OSX, A5X, 맥프로, Windows10, 9.7형",False
memory-interleaving,메모리-인터리빙,N/A,False
Thread,스레드,"thread, 3238, 3038, 총회소식, 8230, 5091, Rasberry, 7914, dopt, 9367",False
boot-virus,부트바이러스,N/A,False
love-virus,러브바이러스,N/A,False
shared-memory,공유메모리,"프로세스간, X.25, 큐잉, 매니코어, CISC, DCOM, 뉴타닉스, 퀵소트, 클라이언트-서버, 객체지향",False
NetWare,네트웨어,"NFS, 스냅인, 윈도우98, 4소켓, CIFS, 윈도우즈, 로드밸런서, 워크그룹, VMM, SAN은",False
Screen-Scraping,스크린-스크래핑,N/A,False
programming-language,프로그래밍언어,"프로그래밍, 개발언어, 객체지향, 언어용, 객체지향적, 라이브러리나, 구현체, 퀵소트, UML과, 프로그래밍에",False
bus,버스,"버스, 버스를, 버스에, 정류장의, 센트럴병, 승차장, 버스에는, 버스의, 대절, 버스에서",True
analog-computer,아날로그컴퓨터,N/A,False
Maya,마야,"마야, 자하라, 바하에, 안젤루, 티칼, 마아트, 가야트리, 아나야, 그레코, 멜리나",True
upload,업로드,"업로드, 업로드하기, 업로드용, 업로드하거나, 올리기와, 업로드해서, 첨부하기, 업로드를, 저장위치, 파일저장",True
macro-virus,매크로바이러스,N/A,False
Simcity,심시티,"심시티, 밸브사의, 빌드잇, 1.6.6, 에뮬레이터, 문명5, v1.5, RC1, 팝캡, Crysis",True
computer-vaccine,컴퓨터백신,N/A,False
Add-On-Program,애드온-프로그램,N/A,False
galaga,갤러그,"벽돌깨기, 갤러그, NES용, 오락실게임, 와리오랜드, 콘솔용, 알카노이드, wii, 파크라이, 액션게임의",True
Flash-Animation,플래시애니메이션,N/A,False
celeron,셀러론,"비쉐라, 5xx, ddr3, 팬티엄, X64, 4790, ARM7, ARM920T, 4044, DDR2",False
patch-program,패치프로그램,N/A,False
BASIC,베이식,"데이터버스, 8KB, i960, 128K, OCaml, 16-bit, 배커스-나우르, i486, 80386, GW-BASIC",False
Web-Casting,웹캐스팅,N/A,False
nano-computer,나노컴퓨터,N/A,False
netsgo,넷츠고,N/A,False
Fibre-channel,파이버-채널,N/A,False
multicodec,멀티코덱,N/A,False
EMACS,이맥스,"UNIX와, 윈도우즈에서, X86, Unix, 윈도우즈용, AMD64의, GNU는, 윈도우즈와, 운영체제에는, 토르발스가",False
cyber-money,사이버머니,N/A,False
Orange-Book,오렌지북,N/A,False
trackball,트랙볼,"터치패드, 입력장치의, 입력장치가, 입력장치, 마우스는, 트랙볼, 키보드, 입력장치는, 터치패드의, 키보드나",True
bloatware,블로트웨어,"안드로이드보다, 안드로이드의, 윈도폰7을, 커스텀롬, os, 스펙다운, 윈도폰7, 윈도폰7의, OS만, 폰들이",False
Google-Wallet,구글-월렛,N/A,False
Memory-card,메모리카드,N/A,False
digital-camera,디지털-카메라,"카메라, 광학기기, 디지털카메라, 카메라폰, 카메라용, 디지털카메라는, NX200, 고화소, 디카나, 노출계",False
wheel-mouse,휠마우스,N/A,False
billing-system,빌링시스템,N/A,False
white-space,화이트스페이스,"줄바꿈, 글꼴의, 가변폭, 여백, XHTML에서, 고정폭, 한정자, XHTML에서는, 태그로, 빗금",False
RollerCoaster-Tycoon,롤러코스터-타이쿤,N/A,False
Code-Red,코드레드,N/A,False
touch-pad,터치패드,"키보드, 터치패드에, 터치패드, 키보드나, 트랙패드, 터치패드는, 터치식, 터치패드도, 정전식, 마우스나",True
internet-cafe,인터넷카페,N/A,False
CASE-tool,케이스툴,N/A,False
Icon,아이콘,"아이콘, 아이콘팩, ICON, BBQ창업, Icon, CorelDRAW, 로슬랴코바, Reddot, 라인아이콘, 블라다",True
web-animation,웹애니메이션,N/A,False
WikiWiki,위키위키,"MSHTML, KHTML, 모니위키, 태터툴즈를, 위키피디아처럼, 모니위키의, 백괴게임, ASP.NET에서, 위키위키는, 위키위키웹",True
HomeKit,홈킷,"IoT, 홈킷, SmartThings, SmartThinQ, 커넥티비티, 스마트홈, iCloud를, 홈오토메이션, Miracast, Siri",True
cyberliteracy,사이버리터러시,N/A,False
digital-computer,디지털컴퓨터,N/A,False
Lotus-Notes,로터스-노츠,N/A,False
X-Box,엑스박스,"패미컴, PS비타, 게임콘솔, 게임기를, 콘솔게임기, PC-FX, xbox, 게임만, 게임들을, 게임도",False
Real-Player,리얼플레이어,N/A,False
Real-Audio,리얼오디오,N/A,False
cache-server,캐시서버,N/A,False
joke-virus,조크바이러스,N/A,False
Opt-in-mail,옵트인메일,N/A,False
splogger,스플로거,N/A,False
parity-check,패러티-검사,"LDPC, BCH, 3비트, PHY, 선형, 곱셈기, EBP, QAM, 합병정렬, 해싱",False
Homonarrans,호모나랜스,N/A,False
Utility-Computing,유틸리티-컴퓨팅,N/A,False
computer-program,컴퓨터프로그램,"곱셈기, 소프트웨어, 8051의, 회로설계, Verilog, 설계용, LDPC, 가감산기, verilog, 장치별",False
routine,루틴,"루틴을, 일상, 운동시간, 취침, 루틴, 체형교정, 출근, 매일하는, 야근과, 자세교정",True
hand-scanner,핸드스캐너,N/A,False
shinbiro,신비로,N/A,False
dot-matrix-printer,도트매트릭스프린터,N/A,False
system-file,시스템-파일,N/A,False
RAMDAC,램댁,"SVGA, 그래픽코어, DDR266, PHY, 12비트, 16MHz, 멀티미디어카드, AC97, PC133, EAX를",False
Hanmir,한미르,N/A,False
PostScript,포스트스크립트,"포스트스크립트, 포스트스크립트를, Unix의, 오픈지엘, PDF는, 고스트스크립트, 도스에서, PDF를, CICS, COFF",True
free-software,프리소프트웨어,"오픈소스, 오픈소스이며, 소프트웨어, 오픈소스와, 오픈소스의, 자유소프트웨어, 공개소스, 소프트웨어란, 오픈소스나, 공개소프트웨어",False
Ada,에이다,"캠브릿지의, 루이자, 엘레노어, 팔머의, 에드슨, 마리언, 브론테와, 고슬링은, 고긴스, 파나베이커",False
terabit,테라비트,"20Gbps, 40Gbps, Gbps, 10Gbps, 12Gbps, 기가급, 100Gbps, 2Gbps, 10Gbps의, 5Gbps",False
QuickTime,퀵타임,"QuickTime, Windows7, 윈도우즈와, IE10에서, 보이스오버, VC-1, WebP, VMWare에서, OSX, 팟플레이어에서",False
PetaFlops,페타플롭스,N/A,False
Arcturus,악튜러스,"알파별은, 탄티브, 에타별은, 마리너, 폴룩스, 항성종족, 고사머, 레다, 목성, 디오네",False
Baud,보드,"이름가르트, 그리모, Lavelle, 롱사르, 메지에르, Philibert, Beaumarchais, Ohm, 상티, 달브레",False
degausser,디가우서,"케이블타입, 실험실용, RWR, 나노코팅, 특징소형, 기능이있는, 장비용, 고내구성, 금속용, 계측기기",False
